MEP,EPG,Political Leaning
Alex AGIUS SALIBA,S&D,Left
Arnaud DANJEAN,EPP,Right
Bas EICKHOUT,Greens/EFA,Left
Cristian-Silviu BUŞOI,EPP,Right
David McALLISTER,EPP,Right
Dimitrios PAPADIMOULIS,The Left,Left
Dita CHARANZOVÁ,Renew,Centre
Dolors MONTSERRAT,EPP,Right
Dragoş TUDORACHE,Renew,Centre
Eero HEINÄLUOMA,S&D,Left
Evelyn REGNER,S&D,Left
Frances FITZGERALD,EPP,Right
Heidi HAUTALA,Greens/EFA,Left
Hilde VAUTMANS,Renew,Centre
Ilhan KYUCHYUK,Renew,Centre
Iratxe GARCÍA PÉREZ,S&D,Left
Isabel SANTOS,S&D,Left
Isabel WISELER-LIMA,EPP,Right
Johan VAN OVERTVELDT,ECR,Right
Katalin CSEH,Renew,Centre
Kira Marie PETER-HANSEN,Greens/EFA,Left
Lucia ĎURIŠ NICHOLSONOVÁ,Renew,Centre
Manfred WEBER,EPP,Right
Marc ANGEL,S&D,Left
Marcel KOLAJA,Greens/EFA,Left
Marian-Jean MARINESCU,EPP,Right
Martin HOJSÍK,Renew,Centre
Mohammed CHAHIM,S&D,Left
Nicola DANTI,Renew,Centre
Othmar KARAS,EPP,Right
Pascal CANFIN,Renew,Centre
Paulo RANGEL,EPP,Right
Pedro MARQUES,S&D,Left
Pedro SILVA PEREIRA,S&D,Left
Petar VITANOV,S&D,Left
Petri SARVAMAA,EPP,Right
Pina PICIERNO,S&D,Left
Rainer WIELAND,EPP,Right
Roberta METSOLA,EPP,Right
Roberts ZĪLE,ECR,Right
Ryszard CZARNECKI,ECR,Right
Sandro GOZI,Renew,Centre
Siegfried MUREŞAN,EPP,Right
Sophia IN 'T VELD,Renew,Centre
Tiemo WÖLKEN,S&D,Left
Tomáš ZDECHOVSKÝ,EPP,Right
Tonino PICULA,S&D,Left
Udo BULLMANN,S&D,Left
Valérie HAYER,Renew,Centre
Željana ZOVKO,EPP,Right
